VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4	1726962106112	-0.0859381	-0.0884584	-2.83123	0.999988	0.000118479	-0.00453876	0.00159355	img_PX4__0_1726962106110372500.png
PX4	1726962106953	-0.132811	-0.167176	-5.46692	0.99992	0.00708	-0.0102559	0.00215091	img_PX4__0_1726962106950954700.png
PX4	1726962107770	-0.0577379	-0.160744	-7.95917	0.999971	0.0062529	-0.00364309	0.00247957	img_PX4__0_1726962107766457200.png
PX4	1726962108696	0.0700363	-0.0668651	-10.7337	0.999958	-0.00160785	0.00871405	0.00254691	img_PX4__0_1726962108692891700.png
PX4	1726962109822	0.0503737	-0.000732824	-14.0709	0.999942	-0.00817138	0.00641611	0.00294469	img_PX4__0_1726962109814478500.png
PX4	1726962110916	-0.0985475	-0.0957745	-17.3245	0.999966	0.000879543	-0.00740821	0.00337608	img_PX4__0_1726962110911802100.png
PX4	1726962111908	-0.115455	-0.172224	-20.2786	0.999928	0.00844384	-0.00765037	0.00376298	img_PX4__0_1726962111901447900.png
PX4	1726962113135	0.024652	-0.0845128	-23.9421	0.999978	-0.000391288	0.00534702	0.00386575	img_PX4__0_1726962113131266000.png
PX4	1726962114349	0.0478649	-0.00894255	-27.5701	0.999945	-0.00780277	0.00576658	0.00393897	img_PX4__0_1726962114344937500.png
PX4	1726962115694	-0.08072	-0.122696	-31.595	0.99997	0.00377009	-0.00533209	0.00417801	img_PX4__0_1726962115689039100.png
PX4	1726962117180	4.09761	-2.69056	-33.9971	0.925483	-0.19315	-0.31868	-0.0679484	img_PX4__0_1726962117176729000.png
PX4	1726962118305	14.5351	-9.69321	-33.134	0.991669	-0.0678434	-0.0940898	-0.0560056	img_PX4__0_1726962118300576700.png
PX4	1726962119278	25.2663	-17.3413	-33.4283	0.998975	0.0164675	-0.00365234	-0.0419945	img_PX4__0_1726962119273579200.png
PX4	1726962121319	45.7776	-31.5809	-34.1552	0.99918	-0.00174219	-0.0156598	-0.0372963	img_PX4__0_1726962121311258000.png
PX4	1726962122792	59.4658	-40.9518	-33.9276	0.998405	-0.0172085	-0.0386104	-0.0374224	img_PX4__0_1726962122788238000.png
PX4	1726962124294	73.6868	-50.6686	-33.8918	0.99817	-0.0189372	-0.0432493	-0.0377911	img_PX4__0_1726962124288832100.png
PX4	1726962125914	89.5074	-61.432	-33.9683	0.998484	-0.014886	-0.0370597	-0.037887	img_PX4__0_1726962125909937900.png
PX4	1726962127718	107.276	-73.4888	-34.0172	0.998634	-0.0135744	-0.0331132	-0.0380846	img_PX4__0_1726962127710981300.png
PX4	1726962129357	123.36	-84.4241	-33.9916	0.998557	-0.0141295	-0.0346636	-0.0385008	img_PX4__0_1726962129352765500.png
PX4	1726962131033	139.826	-95.6438	-33.9693	0.998556	-0.0144293	-0.0342012	-0.0388436	img_PX4__0_1726962131029502100.png
PX4	1726962132672	155.895	-106.62	-33.9694	0.998544	-0.0138894	-0.0344797	-0.0390966	img_PX4__0_1726962132668563700.png
PX4	1726962134262	171.465	-117.255	-33.9793	0.99853	-0.0141788	-0.0343863	-0.0394192	img_PX4__0_1726962134258798400.png
PX4	1726962135925	187.77	-128.4	-33.9933	0.99853	-0.0136383	-0.0343212	-0.0396843	img_PX4__0_1726962135920299700.png
PX4	1726962137709	205.268	-140.361	-33.9948	0.998505	-0.0140033	-0.0344244	-0.0400899	img_PX4__0_1726962137705428500.png
PX4	1726962139411	221.937	-151.768	-33.9859	0.998498	-0.014127	-0.0341522	-0.040455	img_PX4__0_1726962139406525200.png
PX4	1726962141114	238.613	-163.189	-33.9736	0.998474	-0.0138294	-0.03479	-0.0405842	img_PX4__0_1726962141110964000.png
PX4	1726962142855	255.639	-174.858	-33.969	0.998471	-0.0138493	-0.0346227	-0.0408111	img_PX4__0_1726962142851223800.png
PX4	1726962144550	272.258	-186.204	-33.9779	0.998466	-0.0140364	-0.0344715	-0.0409978	img_PX4__0_1726962144545720400.png
PX4	1726962146183	288.283	-197.182	-33.9864	0.998456	-0.0138713	-0.0345501	-0.0412371	img_PX4__0_1726962146178454800.png
PX4	1726962147878	304.869	-208.542	-33.9924	0.998447	-0.0133237	-0.0348142	-0.0414141	img_PX4__0_1726962147873849500.png
PX4	1726962149576	321.519	-219.929	-33.9936	0.998441	-0.0141754	-0.0345942	-0.0414524	img_PX4__0_1726962149572925300.png
PX4	1726962151249	337.938	-231.169	-33.9888	0.998428	-0.0138829	-0.0349884	-0.0415315	img_PX4__0_1726962151245176800.png
PX4	1726962152972	354.848	-242.742	-33.9786	0.998425	-0.0138103	-0.0348254	-0.0417497	img_PX4__0_1726962152968003100.png
PX4	1726962154647	371.296	-254	-33.9781	0.998431	-0.0134782	-0.0346384	-0.0418788	img_PX4__0_1726962154642864400.png
PX4	1726962156245	386.975	-264.724	-33.982	0.998419	-0.0140022	-0.0346994	-0.0419426	img_PX4__0_1726962156242126300.png
PX4	1726962157904	403.267	-275.878	-33.9797	0.998409	-0.014018	-0.0348404	-0.0420627	img_PX4__0_1726962157900691100.png
PX4	1726962159709	420.982	-288.015	-33.9741	0.998412	-0.0138202	-0.0348655	-0.0420351	img_PX4__0_1726962159705527500.png
PX4	1726962161661	440.175	-301.161	-33.9756	0.9984	-0.01415	-0.0349388	-0.0421601	img_PX4__0_1726962161656709500.png
PX4	1726962163836	461.534	-315.784	-33.9846	0.998396	-0.0141685	-0.0350147	-0.0421659	img_PX4__0_1726962163826924300.png
PX4	1726962165595	478.857	-327.644	-33.9812	0.998409	-0.0138842	-0.0348598	-0.0420886	img_PX4__0_1726962165590655100.png
PX4	1726962167512	497.71	-340.545	-33.9695	0.998394	-0.0140708	-0.0350454	-0.0422288	img_PX4__0_1726962167506038300.png
PX4	1726962169497	517.215	-353.912	-33.9696	0.998402	-0.013704	-0.0348563	-0.0423277	img_PX4__0_1726962169488885200.png
PX4	1726962171218	534.147	-365.482	-33.974	0.998393	-0.0136156	-0.0350569	-0.042384	img_PX4__0_1726962171213304600.png
PX4	1726962173730	558.884	-382.413	-33.9744	0.998376	-0.0144013	-0.0353908	-0.0422672	img_PX4__0_1726962173718530200.png
PX4	1726962176009	581.337	-397.793	-33.922	0.998353	-0.0141725	-0.0358946	-0.0424473	img_PX4__0_1726962176001383100.png
PX4	1726962178191	602.834	-412.505	-33.8828	0.998399	-0.0133838	-0.0348342	-0.0425041	img_PX4__0_1726962178183387300.png
PX4	1726962180391	624.505	-427.322	-33.9537	0.998357	-0.0146983	-0.035599	-0.0424343	img_PX4__0_1726962180381824100.png
PX4	1726962182063	640.986	-438.632	-33.9699	0.998397	-0.0138077	-0.0348961	-0.0423782	img_PX4__0_1726962182058367400.png
PX4	1726962183341	653.625	-447.267	-33.9736	0.998403	-0.0135683	-0.0349346	-0.042266	img_PX4__0_1726962183337527000.png
