VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4	1726960220557	-0.0286281	-0.169038	-3.13257	0.999964	0.00382736	-0.00691198	0.00299871	img_PX4__0_1726960220554993100.png
PX4	1726960221252	-0.0163358	-0.283739	-5.30493	0.999864	0.0150615	-0.00564536	0.0036234	img_PX4__0_1726960221250499200.png
PX4	1726960222098	0.0628765	-0.245954	-7.87263	0.999933	0.0108299	0.000871369	0.00393341	img_PX4__0_1726960222094571000.png
PX4	1726960222969	0.130739	-0.0656969	-10.482	0.999949	-0.00640847	0.00676423	0.00393665	img_PX4__0_1726960222966901500.png
PX4	1726960223790	0.113663	0.0284969	-12.9108	0.999855	-0.0160699	0.00383555	0.00410616	img_PX4__0_1726960223787367400.png
PX4	1726960224561	0.0515736	-0.0558246	-15.1952	0.999965	-0.00704772	-0.00135478	0.00435279	img_PX4__0_1726960224558825500.png
PX4	1726960225255	0.00657754	-0.203239	-17.2635	0.999955	0.00714977	-0.00428894	0.00453197	img_PX4__0_1726960225253076000.png
PX4	1726960226139	0.000247215	-0.288253	-19.8919	0.999874	0.015041	-0.00212872	0.00466247	img_PX4__0_1726960226136788100.png
PX4	1726960227167	0.0334626	-0.139075	-22.9549	0.999989	0.000968564	-0.000750426	0.00460381	img_PX4__0_1726960227164339800.png
PX4	1726960228278	0.0893007	0.0260241	-26.2863	0.999872	-0.0153475	0.000588977	0.00441763	img_PX4__0_1726960228275109300.png
PX4	1726960229281	0.125405	-0.0900524	-29.2877	0.999972	-0.00426212	0.00430937	0.00431221	img_PX4__0_1726960229278748600.png
PX4	1726960230293	0.0853051	-0.280157	-32.3194	0.999911	0.012598	-0.00203496	0.00397677	img_PX4__0_1726960230290249900.png
PX4	1726960231445	3.04364	-2.1996	-34.3635	0.919279	-0.194753	-0.335989	-0.0641087	img_PX4__0_1726960231441880700.png
PX4	1726960232303	9.93936	-6.75657	-33.7661	0.975609	-0.113862	-0.177259	-0.061665	img_PX4__0_1726960232299783100.png
PX4	1726960233255	20.2503	-13.8652	-33.5252	0.998366	-0.012925	-0.0372799	-0.0413227	img_PX4__0_1726960233251561100.png
PX4	1726960234632	35.0174	-24.0443	-34.3411	0.999174	0.0183482	0.0171802	-0.0319433	img_PX4__0_1726960234629116600.png
PX4	1726960236420	51.93	-35.7158	-34.362	0.999138	-0.00896246	-0.0271889	-0.0300598	img_PX4__0_1726960236413912000.png
PX4	1726960238091	67.4038	-46.2364	-34.1981	0.998371	-0.0147455	-0.0459699	-0.030402	img_PX4__0_1726960238087299000.png
PX4	1726960239713	83.0945	-56.5821	-34.2716	0.998467	-0.0208801	-0.0408769	-0.0309323	img_PX4__0_1726960239708722900.png
PX4	1726960241503	100.812	-68.4048	-34.3369	0.998807	-0.0171796	-0.0334754	-0.0311239	img_PX4__0_1726960241499375800.png
PX4	1726960243382	119.363	-81.0216	-34.3213	0.998827	-0.0147378	-0.0333131	-0.0318877	img_PX4__0_1726960243376061700.png
PX4	1726960245095	136.221	-92.5587	-34.2964	0.998778	-0.0148098	-0.033898	-0.0327823	img_PX4__0_1726960245070544100.png
PX4	1726960246749	152.495	-103.723	-34.2855	0.998751	-0.0145467	-0.0339219	-0.0336872	img_PX4__0_1726960246743232900.png
